Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Sloga Uppsala,Jonathan Ninkingira,12,Jonathan Ninkingira,27,22.8,614.4,225.0,8.3,62.0,162.0,38.3,29.0,77.0,37.7,72.0,92.0,78.3,12.0,44.0,56.0,36.0,17.0,11.0,45.0,0.0,226.1,19.4,10.6,1.7,2.6,63,288.0,10.7,13.5,2,0.7,3,2,25.8,3.9,3,-5.45,-5.59,0.14,2.4,3.3,48.0,22.0,45.8,23.0,6.0,26.1,71.0,26.0,36.6,15.0,6.0,21.0,11.0,0.0,6.0,29.0,53.0,42.0
Jämtland Basket,Adam Johansson,3,Adam Johansson,27,23.7,639.0,207.0,7.7,73.0,169.0,43.2,32.0,91.0,35.2,29.0,38.0,76.3,16.0,50.0,66.0,122.0,18.0,0.0,40.0,0.0,201.3,16.3,10.3,6.1,3.3,301,508.0,18.8,25.4,20,2.2,14,6,60.1,18.6,9,-0.87,-2.45,1.59,1.4,2.8,35.0,16.0,45.7,35.0,19.0,54.3,88.0,29.0,33,11.0,9.0,24.0,13.0,0.0,4.0,27.0,44.0,25.0
Jämtland Basket,André Jonsson Lorentsson,13,André Jonsson Lorentsson,27,19.7,532.1,202.0,7.5,71.0,138.0,51.4,33.0,80.0,41.2,27.0,32.0,84.4,31.0,83.0,114.0,30.0,11.0,17.0,26.0,0.0,141.2,13.8,10.1,1.5,5.7,66,268.0,9.9,13.4,10,1.4,11,1,43.7,12.4,7,1.83,-1.43,3.26,3.8,3.7,44.0,30.0,68.2,9.0,5.0,55.6,73.0,33.0,45.2,16.0,2.0,7.0,15.0,0.0,5.0,50.0,46.0,32.0
Jämtland Basket,Erik Persson,9,Erik Persson,27,13.4,361.6,187.0,6.9,62.0,123.0,50.4,33.0,80.0,41.2,30.0,33.0,90.9,18.0,30.0,48.0,30.0,12.0,-1.0,18.0,0.0,132.0,18.9,9.3,1.5,2.4,63,250.0,9.3,12.5,20,2.2,18,1,54.2,19.4,9,2.9,0.63,2.27,2.3,2.8,12.0,10.0,83.3,26.0,15.0,57.7,81.0,36.0,44.4,3.0,12.0,9.0,3.0,0.0,4.0,46.0,48.0,36.0
BC Luleå,Tobias Sjöberg,15,Tobias Sjöberg,27,19.1,516.9,183.0,6.8,72.0,125.0,57.6,0.0,2.0,0,39.0,68.0,57.4,62.0,74.0,136.0,43.0,16.0,15.0,47.0,0.0,134.3,13.8,8.6,2.0,6.4,92,275.0,10.2,13.0,12,1.3,8,4,61.5,9.8,9,0.77,-3.54,4.31,4.4,3.5,102.0,59.0,57.8,12.0,5.0,41.7,2.0,0.0,0,16.0,0.0,8.0,10.0,0.0,2.0,44.0,12.0,36.0
Umeå Basket,Melker Lindblom,2,Melker Lindblom,27,17.6,476.4,168.0,6.2,57.0,157.0,36.3,47.0,126.0,37.3,7.0,11.0,63.6,11.0,32.0,43.0,37.0,8.0,-7.0,34.0,0.0,177.4,19.0,7.8,1.7,2.0,81,249.0,9.2,11.5,3,0.6,8,1,17.8,10.4,5,-6.3,-5.51,-0.78,1.0,3.5,11.0,4.0,36.4,20.0,4.0,20,120.0,43.0,35.8,2.0,9.0,21.0,12.0,0.0,1.0,44.0,45.0,34.0
Norrköping Dolphins,Tim Schüberg,0,Tim Schüberg,27,24.0,646.8,135.0,5.0,40.0,88.0,45.5,12.0,36.0,33.3,43.0,48.0,89.6,21.0,64.0,85.0,130.0,24.0,3.0,41.0,0.0,124.0,9.9,6.0,5.8,3.8,298,433.0,16.0,19.3,4,2.0,1,1,138.9,3.4,2,2.45,-2.8,5.24,1.7,2.4,36.0,21.0,58.3,7.0,2.0,28.6,34.0,12.0,35.3,13.0,4.0,20.0,9.0,0.0,5.0,33.0,55.0,50.0
Nässjö Basket,Anton Lindqvist,20,Anton  Lindqvist,27,18.1,489.6,132.0,4.9,48.0,91.0,52.7,13.0,36.0,36.1,23.0,38.0,60.5,24.0,29.0,53.0,12.0,13.0,5.0,19.0,0.0,98.6,10.5,6.0,0.5,2.4,26,158.0,5.9,7.2,10,2.5,5,4,74.0,6.8,4,-3.47,-4.47,1.0,3.1,4.5,39.0,25.0,64.1,5.0,0.0,0,31.0,11.0,35.5,10.0,0.0,5.0,5.0,0.0,6.0,20.0,45.0,23.0
Köping Stars,Rickard Rietz,11,Rickard Rietz,27,11.9,320.0,106.0,3.9,36.0,85.0,42.4,8.0,35.0,22.9,26.0,33.0,78.8,17.0,27.0,44.0,6.0,6.0,-20.0,13.0,0.0,91.7,14.9,5.2,0.3,2.2,11,117.0,4.3,5.8,6,6.0,5,2,51.0,5.9,1,-11.52,-9.46,-2.06,2.2,4.4,30.0,17.0,56.7,16.0,7.0,43.8,33.0,9.0,27.3,4.0,3.0,5.0,5.0,0.0,1.0,27.0,18.0,23.0
Södertälje BBK,Mattias Herlitz,12,Mattias Herlitz,27,17.8,479.9,104.0,3.9,39.0,101.0,38.6,11.0,37.0,29.7,15.0,27.0,55.6,22.0,49.0,71.0,65.0,19.0,-2.0,22.0,0.0,108.4,12.9,5.4,3.4,3.7,141,245.0,9.1,12.7,5,1.0,5,0,50.0,5.0,5,-1.01,-4.92,3.91,1.8,3.4,35.0,17.0,48.6,25.0,10.0,40,32.0,11.0,34.4,13.0,0.0,12.0,2.0,0.0,1.0,30.0,11.0,29.0
