# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 156
# Qualified players exported: 111
# Total stints used: 5042
# Garbage time stints excluded: 225
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Högsbo Basket,5,Jesper Hallberg,772,-0.03,-2.13,-2.16
Högsbo Basket,22,Tony Vitali,1001,0.02,-2.32,-2.3
Köping Stars,3,ASA Nathaniel Williams,622,-0.65,-1.93,-2.58
Köping Stars,31,Dragos Andrei Diculescu,1333,-1.95,-0.64,-2.59
Högsbo Basket,6,Anes Zekovic,1312,0.86,-3.56,-2.7
Umeå Basket,22,Duko Bos,661,-2.97,0.2,-2.77
Jämtland Basket,13,André Jonsson Lorentsson,980,0.1,-3.05,-2.95
Uppsala Basket,4,Peter Stümer,1338,-1.04,-1.94,-2.97
Sloga Uppsala,10,Axel Nordström,864,-2.14,-1.24,-3.38
Nässjö Basket,21,Dartaye Ruffin,1061,-1.73,-1.81,-3.53
Umeå Basket,7,Emanuel Lundmark,744,-2.18,-1.4,-3.58
Köping Stars,6,Oliver Cupan,653,-1.57,-2.17,-3.75
BC Luleå,17,Felix Broström,1130,-0.87,-2.93,-3.8
Södertälje BBK,6,Lukas Novakovic,569,-3.27,-0.73,-4.0
Uppsala Basket,8,Melker Delryd,1123,-1.23,-3.14,-4.37
Sloga Uppsala,12,Jonathan Ninkingira,1051,-2.42,-2.13,-4.54
Högsbo Basket,1,Isaiah Hill,904,-2.89,-1.84,-4.73
Nässjö Basket,3,Mio Hjalmarsson,762,-2.73,-2.12,-4.85
Sloga Uppsala,13,Dragan Damjanovic,773,-3.07,-2.04,-5.11
Sloga Uppsala,6,Alan Zekovic,648,-2.4,-2.74,-5.14
Köping Stars,5,Sekou Sylla,1586,-1.1,-4.1,-5.2
Sloga Uppsala,4,Milos Bajic,523,-4.48,-0.97,-5.45
Uppsala Basket,2,Max Andersson,1037,-4.41,-1.08,-5.49
Sloga Uppsala,2,Richie Springs,1351,-2.15,-3.35,-5.5
Södertälje BBK,0,Elias Desport,512,-3.1,-3.72,-6.82
Umeå Basket,11,Adam Rask,1152,-7.59,-0.57,-8.15
