Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
London Lions,"Aaryn Rai, Amin Adamu, Ciaran Sandy, Ethan Price, Kameron Mcgusty",1,170,0.0,7,2,2,100,1,1,100,2,2,100,0,1,1,2,0,0,2,2,5,68.4,68.9,67.9,34.8,35.3,125,121.5,100,0,50,29.1,100,50,143.4,8,3,5,60,1,1,100,1,2,50,1,0,1,3,2,0,0,0,5,70,68,0,50,20,166.3,1,1,100,0,0,0,1,1,100,2,0,0,0,-22.9,4,2,50,0,0,0,1,1,100,0,0,0,0,0,2,0,3,0,2
Surrey 89ers,"Isiah Small, Michael Graham, Nedas Cholevinskas, Owen Koonce, Ronald Polite Iii",1,185,0.0,2,0,3,0,0,2,0,2,4,50,1,2,3,0,0,0,1,1,5,70.3,64.3,76.3,37.3,31.5,0,21,0,25,100,17.4,133.3,66.7,40.3,8,3,5,60,1,2,50,1,2,50,0,3,3,2,1,0,0,3,6,70,68,0,0,40,136.1,1,0,0,0,0,0,2,0,0,1,0,0,0,-95.7,2,2,100,1,0,0,2,1,50,0,0,0,0,0,0,0,0,3,3
London Lions,"Amin Adamu, Deane Williams, Ethan Price, Karolis Lukosiunas, Shavar Reynolds Jr",1,179,0.0,4,1,5,20,0,2,0,2,2,100,2,1,3,2,0,0,1,1,5,58.6,63.6,53.6,37.8,44.8,20,34,200,50,100,11.3,40,40,84.4,4,2,3,66.7,0,0,0,0,0,0,0,2,2,2,1,0,1,3,4,66.7,66.7,25,0,0,100,1,1,100,2,0,0,2,0,0,1,0,0,0,-15.6,2,1,50,1,1,100,0,0,0,0,0,1,0,2,0,0,0,4,2
Cheshire Phoenix,"Damiri Lindo, Jaxon Brenchley, Matthew Zona, Patrick Robinson, Tobias Cameron",1,165,0.0,5,1,3,33.3,0,1,0,3,4,75,1,4,5,1,0,1,1,0,5,80.9,68.2,93.7,35.2,25.6,33.3,52.5,100,50,100,14.8,133.3,33.3,106.6,6,2,6,33.3,1,3,33.3,1,1,100,0,1,1,2,1,1,0,3,6,41.7,46.6,0,0,50,93.2,2,1,50,0,0,0,1,0,0,1,0,0,0,13.4,0,0,0,3,1,33.3,3,1,33.3,0,0,0,0,2,2,0,0,3,3
Newcastle Eagles,"Cole Long, Deion Hammond, Maceo Jack, Mitch Clarke, Ray'sean Taylor",1,154,0.0,5,2,4,50,0,1,0,1,2,50,1,2,3,1,0,1,1,0,5,76.4,75,77.9,32.0,30.8,50,51.2,50,50,100,14.5,50,25,104,8,3,4,75,2,2,100,0,0,0,0,1,1,3,1,1,1,1,5,100,100,20,0,50,160,3,2,66.7,0,0,0,1,0,0,1,0,0,0,-56,1,0,0,1,1,100,2,2,100,1,0,0,0,0,0,2,0,2,3
Newcastle Eagles,"Deion Hammond, Gus Okafor, Maceo Jack, Mitch Clarke, Terrell Burden",1,174,0.0,4,1,2,50,1,1,100,1,2,50,0,3,3,1,0,0,2,3,5,73.7,67.3,80.1,35.7,29.9,75,69.4,100,0,75,34,100,50,82,4,1,5,20,0,2,0,2,2,100,1,1,2,1,1,1,1,1,6,20,34,14.5,25,40,68.8,1,0,0,0,0,0,1,1,100,1,0,0,1,13.1,2,1,50,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2
London Lions,"Aaryn Rai, Amin Adamu, Deane Williams, Ethan Price, Tarik Phillip",1,209,3.5,6,2,6,33.3,0,1,0,2,2,100,2,2,4,3,1,1,0,0,5,55.5,54.4,56.6,44.1,42.4,33.3,43.6,150,50,66.7,0,33.3,16.7,126.6,0,0,3,0,0,1,0,0,0,0,1,2,3,0,0,0,3,3,5,0,0,50,33.3,33.3,0,4,1,25,1,1,100,1,0,0,0,0,0,0,126.6,2,0,0,0,0,0,1,0,0,1,0,0,2,2,2,4,0,0,0
Bristol Flyers,"Joseph Anderson, Marcus Delpeche, Pasquale Landolfi, William Yoakum, Zachary Anderson",1,132,0.0,6,1,4,25,0,3,0,4,5,80,1,1,2,1,1,0,0,1,5,92.2,93.3,91.2,25.7,26.3,25,48.4,100,33.3,33.3,0,125,75,117,5,2,4,50,1,3,33.3,0,1,0,2,2,4,1,0,0,2,4,5,62.5,56.3,31.1,66.7,75,99.7,1,1,100,0,0,0,3,0,0,0,0,0,0,17.2,1,1,100,0,0,0,3,1,33.3,1,0,0,1,2,2,4,5,0,0
London Lions,"Aaryn Rai, Amin Adamu, Deane Williams, Jonathan Williams, Tarik Phillip",1,151,0.5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,5,70.4,79.5,61.4,30.2,39.1,0,0,0,0,0,40,0,33.3,0,5,2,4,50,1,2,50,0,0,0,2,3,5,2,2,1,2,0,4,62.5,62.5,33.3,100,50,129.5,2,0,0,0,0,0,1,0,0,1,1,0,0,-129.5,0,0,0,2,1,50,2,1,50,2,0,0,0,0,0,0,2,0,0
Newcastle Eagles,"Cole Long, Deion Hammond, Emmanuel Kanwei, Mitch Clarke, Terrell Burden Jr",1,126,0.0,7,2,4,50,1,1,100,2,2,100,0,3,3,2,0,1,0,1,5,83.2,93,73.5,25.8,32.6,62.5,71.7,100,0,60,0,50,25,143.4,2,1,6,16.7,0,2,0,0,0,0,2,2,4,0,0,0,0,1,4,16.7,16.7,0,40,33.3,51.8,0,0,0,3,1,33.3,1,1,100,0,0,0,0,91.6,1,1,100,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
Cheshire Phoenix,"Damiri Lindo, Laquincy Rideau, Matthew Zona, Michael Diggins, Patrick Robinson",1,119,0.0,6,1,3,33.3,0,2,0,4,4,100,0,1,1,1,0,0,0,1,5,87.6,96,79.3,25.0,30.3,33.3,63,100,0,50,0,133.3,66.7,126.1,7,3,5,60,1,2,50,0,0,0,1,2,3,0,0,0,0,2,4,70,70,0,50,40,178.1,0,0,0,1,1,100,2,0,0,0,0,0,0,-52.1,1,1,100,2,1,50,2,1,50,0,0,0,0,0,2,0,2,0,0
Leicester Riders,"Aaron Menzies, Flynn Boardman-Raffet, Marc Loving, Olutomiwa Sulaiman, Travis Evee",1,141,0.0,7,2,2,100,1,1,100,2,2,100,0,1,1,1,0,0,1,2,4,66,66,66,36.3,36.3,125,121.5,50,0,100,20.5,100,50,180.4,6,2,3,66.7,0,0,0,2,2,100,0,0,0,3,1,0,0,1,4,66.7,77.3,0,0,0,154.6,1,1,100,0,0,0,1,1,100,1,0,0,0,25.8,3,2,66.7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Surrey 89ers,"Andrew Lawrence, Haydn Ling, Isiah Small, Kino Lily Jr, Ronald Polite Iii",1,112,0.0,6,2,3,66.7,0,0,0,2,2,100,0,0,0,3,1,0,0,0,4,73.7,83.1,64.3,28.9,37.3,66.7,77.3,150,0,0,0,66.7,0,154.6,5,2,2,100,1,1,100,0,0,0,0,1,1,1,0,0,1,1,3,125,125,33.3,0,50,166.7,3,2,66.7,0,0,0,0,0,0,0,0,0,0,-12,1,1,100,0,0,0,1,1,100,1,0,0,0,0,0,0,3,0,0
London Lions,"Aaryn Rai, Amin Adamu, Ciaran Sandy, Deane Williams, Matthew Goodwin",1,109,0.0,4,2,2,100,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,85.4,88.1,82.8,27.2,29.0,100,100,50,0,0,40,0,0,100,10,2,2,100,2,2,100,4,4,100,0,0,0,3,2,0,0,0,4,150,133,0,0,100,266,0,0,0,2,2,100,0,0,0,2,0,0,0,-166,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,0,0,5
London Lions,"Aaryn Rai, Ciaran Sandy, Deane Williams, Nigel Hawkins, Shavar Reynolds Jr",2,157,0.0,3,1,3,33.3,0,2,0,1,1,100,1,3,4,0,0,0,2,0,4,56.3,66.8,45.9,35.9,52.3,33.3,43.6,0,50,100,36.8,33.3,66.7,68.6,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,0,0,33.3,0,0,0,0,1,1,100,2,0,0,1,1,0,0,68.6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Eagles,"Deion Hammond, Emmanuel Kanwei, Gus Okafor, Sauveur Kande, Terrell Burden Jr",1,105,0.0,3,1,2,50,0,1,0,1,2,50,0,1,1,1,1,0,1,0,4,77.8,88.7,67,27.1,35.8,50,52.1,100,0,50,20.5,100,50,77.3,3,1,3,33.3,1,2,50,0,0,0,1,1,2,0,0,0,1,2,3,50,50,25,50,66.7,102.4,1,1,100,0,0,0,1,0,0,1,0,0,0,-25.1,1,0,0,0,0,0,2,1,50,0,1,0,0,0,2,2,0,0,3
Bristol Flyers,"Cameron Holden, Evan Walshe, Jonathan Brown, Marcus Delpeche, Owen Mccormack",1,127,0.0,1,0,1,0,0,1,0,1,1,100,0,0,0,0,2,0,3,0,4,79.1,83.9,74.3,28.6,32.3,0,34.7,0,0,0,67.6,100,100,22.5,5,2,3,66.7,1,2,50,0,0,0,1,1,2,1,2,0,2,1,4,83.3,83.3,40,100,66.7,127.2,0,0,0,0,0,0,1,0,0,1,2,0,0,-104.7,1,1,100,0,0,0,2,1,50,2,0,0,0,0,0,0,0,2,2
Bristol Flyers,"Evan Walshe, Joseph Anderson, Marcus Delpeche, Owen Mccormack, William Yoakum",1,96,0.0,4,2,3,66.7,0,1,0,0,0,0,0,1,1,2,1,0,1,1,4,99.1,100,98.2,24.0,24.4,66.7,66.7,100,0,50,16.7,0,33.3,100,0,0,2,0,0,2,0,0,0,0,1,1,2,0,0,0,3,0,4,0,0,60,50,100,0,1,1,100,1,1,100,1,0,0,0,0,1,0,100,0,0,0,0,0,0,2,0,0,1,1,1,0,0,4,2,0,0,0
Manchester Basketball,"Duke Shelton, Jordan Johnson, Kaiyem Cleary, Kyle Carey, Max Jones",1,101,0.0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,4,106.1,95,117.1,25.2,20.5,0,0,0,0,80,75,0,0,0,2,1,6,16.7,0,3,0,0,0,0,1,1,2,1,2,0,0,1,5,16.7,16.7,0,20,50,40.6,0,0,0,1,0,0,0,0,0,3,0,0,0,-40.6,3,1,33.3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2
B. Braun Sheffield Sharks,"Dirk Williams, Jordan Ratinho, Mervin James, Rodney Chatman Iii, William Lee",1,113,0.0,4,1,2,50,0,0,0,2,2,100,0,2,2,1,0,1,1,1,4,82.9,82.4,83.5,29.1,28.8,50,69.4,100,0,66.7,20.5,100,0,103.1,5,2,5,40,1,3,33.3,0,0,0,1,1,2,1,1,0,0,1,4,50,50,0,33.3,60,127.2,2,1,50,0,0,0,0,0,0,1,0,0,0,-24.1,2,1,50,0,0,0,3,1,33.3,0,0,0,0,0,2,0,3,0,0
Cheshire Phoenix,"Damiri Lindo, Jaxon Brenchley, Michael Diggins, Patrick Robinson, Skyler White",2,53,0.0,5,2,3,66.7,0,1,0,1,2,50,0,1,1,0,0,0,0,3,4,147.6,175.7,119.5,13.7,20.1,66.7,64.4,0,0,100,0,66.7,33.3,128.9,3,0,0,0,0,0,0,3,6,50,0,0,0,0,0,0,0,1,3,0,56.8,0,0,0,113.6,1,1,100,1,1,100,1,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
B. Braun Sheffield Sharks,"Dirk Williams, Jalen Deloach, Mervin James, Prentiss Nixon, Rodney Glasgow Jr",1,124,0.0,6,2,2,100,0,0,0,2,2,100,0,0,0,0,0,0,1,0,4,65.9,75.1,56.7,32.0,42.3,100,104.2,0,0,0,25.8,100,0,154.6,5,2,3,66.7,1,2,50,0,0,0,1,0,1,1,0,0,1,0,3,83.3,83.3,25,100,66.7,170.6,2,2,100,0,0,0,0,0,0,0,1,0,0,-16,1,1,100,0,0,0,2,1,50,0,1,0,0,0,2,0,2,0,0
B. Braun Sheffield Sharks,"Dirk Williams, Jordan Ratinho, Mervin James, Mike Ochereobia, Prentiss Nixon",1,79,0.0,8,3,4,75,0,0,0,2,2,100,1,2,3,1,0,0,0,3,4,101.6,115.7,87.5,20.7,27.4,75,82,33.3,100,100,0,50,0,210,1,0,2,0,0,1,0,1,2,50,0,0,0,0,0,0,0,2,3,0,17.4,0,0,50,34.7,4,3,75,0,0,0,0,0,0,0,0,0,0,175.3,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,2,0,0,0
London Lions,"Amin Adamu, Ethan Price, Joel Scott, Karolis Lukosiunas, Tarik Phillip",1,110,0.0,5,2,4,50,0,1,0,1,2,50,1,0,1,2,0,0,0,1,4,89.1,90.9,87.3,26.4,27.5,50,51.2,100,33.3,0,0,50,25,120,2,1,2,50,0,1,0,0,0,0,0,2,2,0,0,0,2,2,4,50,50,50,0,50,50,2,2,100,1,0,0,1,0,0,0,0,0,0,70,1,1,100,0,0,0,1,0,0,1,0,1,0,0,2,3,0,0,0
London Lions,"Amin Adamu, Deane Williams, Joel Scott, Karolis Lukosiunas, Shavar Reynolds Jr",1,128,0.0,8,3,4,75,1,1,100,1,1,100,1,1,2,1,1,0,1,3,4,77.3,81.9,72.8,29.3,33.0,87.5,90.1,33.3,100,100,15.5,25,25,183.1,4,1,2,50,0,1,0,2,2,100,0,0,0,0,1,0,1,1,4,50,69.4,25.8,0,50,103.1,2,2,100,1,0,0,1,1,100,0,1,0,0,80,1,1,100,0,0,0,1,0,0,0,1,0,0,2,0,2,0,2,2
