Team,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Manchester Basketball,2,Max Jones,9,Kaiyem Cleary,12,31,7,5,9,1.33,3.44
Leicester Riders,3,Travis Evee,21,Raequan Battle,11,31,9,2,6,1.83,5.17
Bristol Flyers,7,Cameron Holden,13,Owen Mccormack,11,30,8,3,9,1.22,3.33
Newcastle Eagles,41,Mitch Clarke,14,Maceo Jack,13,30,4,9,10,1.3,3.0
B. Braun Sheffield Sharks,24,Nick Kern Jr,1,Dirk Williams,11,30,8,3,6,1.83,5.0
Surrey 89ers,4,Andrew Lawrence,12,Kino Lily Jr,12,30,6,6,9,1.33,3.33
Caledonia Gladiators,10,Ria'n Holland,40,Ethan Wright,12,30,6,6,6,2.0,5.0
Leicester Riders,13,Donald Carey Jr,41,Nathaniel Martin,15,30,0,15,7,2.14,4.29
Bristol Flyers,7,Cameron Holden,22,Joseph Anderson,10,29,9,1,9,1.11,3.22
Newcastle Eagles,3,Ray'sean Taylor,14,Maceo Jack,11,29,7,4,8,1.38,3.62
Cheshire Phoenix,23,Jaxon Brenchley,11,Tobias Cameron,11,29,7,4,6,1.83,4.83
Bristol Flyers,7,Cameron Holden,3,William Yoakum,12,28,4,8,8,1.5,3.5
B. Braun Sheffield Sharks,1,Dirk Williams,23,Jalen Deloach,14,28,0,14,9,1.56,3.11
Caledonia Gladiators,10,Ria'n Holland,22,Charles Jet Speelman,10,28,8,2,7,1.43,4.0
Newcastle Eagles,3,Ray'sean Taylor,99,Gus Okafor,10,28,8,2,6,1.67,4.67
Cheshire Phoenix,13,Patrick Robinson,99,Skyler White,10,27,7,3,9,1.11,3.0
Newcastle Eagles,99,Gus Okafor,8,Deion Hammond,10,27,7,3,5,2.0,5.4
Manchester Basketball,0,Patrick Smith Jr,34,Matthew Nicholson,13,26,0,13,10,1.3,2.6
Cheshire Phoenix,11,Tobias Cameron,23,Jaxon Brenchley,10,26,6,4,8,1.25,3.25
Cheshire Phoenix,13,Patrick Robinson,5,Frankie Policelli,9,26,8,1,7,1.29,3.71
Newcastle Eagles,14,Maceo Jack,15,Cole Long,10,26,6,4,8,1.25,3.25
Bristol Flyers,22,Joseph Anderson,51,Darnell Brodie,13,26,0,13,13,1.0,2.0
Caledonia Gladiators,10,Ria'n Holland,24,Matthew Ragsdale,9,26,8,1,7,1.29,3.71
B. Braun Sheffield Sharks,2,Prentiss Nixon,4,William Lee,10,25,5,5,8,1.25,3.12
Caledonia Gladiators,6,Kyle Jimenez,7,Fraser Malcolm,9,25,7,2,7,1.29,3.57
Surrey 89ers,0,Isiah Small,7,Ronald Polite Iii,11,25,3,8,9,1.22,2.78
Leicester Riders,13,Donald Carey Jr,20,Spencer Johnson,11,25,3,8,8,1.38,3.12
Cheshire Phoenix,3,Laquincy Rideau,13,Patrick Robinson,10,25,5,5,8,1.25,3.12
Leicester Riders,13,Donald Carey Jr,2,Marc Loving,10,25,5,5,7,1.43,3.57
Bristol Flyers,22,Joseph Anderson,9,Jonathan Brown,10,24,4,6,7,1.43,3.43
Surrey 89ers,7,Ronald Polite Iii,17,Nedas Cholevinskas,9,24,6,3,8,1.12,3.0
Leicester Riders,2,Marc Loving,21,Raequan Battle,9,24,6,3,7,1.29,3.43
Leicester Riders,3,Travis Evee,20,Spencer Johnson,9,23,5,4,7,1.29,3.29
Cheshire Phoenix,11,Tobias Cameron,2,Michael Diggins,9,23,5,4,8,1.12,2.88
Caledonia Gladiators,40,Ethan Wright,22,Charles Jet Speelman,8,23,7,1,6,1.33,3.83
Manchester Basketball,3,Gabriel Osbuhein,2,Max Jones,9,23,5,4,5,1.8,4.6
Newcastle Eagles,1,Terrell Burden Jr,15,Cole Long,9,23,5,4,4,2.25,5.75
Cheshire Phoenix,13,Patrick Robinson,23,Jaxon Brenchley,8,22,6,2,7,1.14,3.14
Cheshire Phoenix,99,Skyler White,13,Patrick Robinson,10,22,2,8,7,1.43,3.14
Cheshire Phoenix,3,Laquincy Rideau,11,Tobias Cameron,9,22,4,5,7,1.29,3.14
Newcastle Eagles,15,Cole Long,3,Ray'sean Taylor,8,22,6,2,7,1.14,3.14
Manchester Basketball,11,Jordan Johnson,0,Patrick Smith Jr,8,22,6,2,4,2.0,5.5
Surrey 89ers,12,Kino Lily Jr,7,Ronald Polite Iii,9,22,4,5,8,1.12,2.75
Newcastle Eagles,14,Maceo Jack,8,Deion Hammond,8,22,6,2,6,1.33,3.67
Leicester Riders,9,Emmanuel Akot,3,Travis Evee,7,21,7,0,6,1.17,3.5
Cheshire Phoenix,23,Jaxon Brenchley,5,Frankie Policelli,8,21,5,3,7,1.14,3.0
Manchester Basketball,3,Gabriel Osbuhein,7,Zak Irvin,10,21,1,9,5,2.0,4.2
Bristol Flyers,4,Zachary Anderson,22,Joseph Anderson,7,21,7,0,6,1.17,3.5
Newcastle Eagles,41,Mitch Clarke,8,Deion Hammond,8,21,5,3,6,1.33,3.5
Bristol Flyers,7,Cameron Holden,51,Darnell Brodie,10,20,0,10,8,1.25,2.5
B. Braun Sheffield Sharks,9,Jordan Ratinho,1,Dirk Williams,7,20,6,1,6,1.17,3.33
London Lions,23,Kameron Mcgusty,1,Joel Scott,8,20,4,4,6,1.33,3.33
Surrey 89ers,0,Isiah Small,21,Michael Graham,10,20,0,10,7,1.43,2.86
Bristol Flyers,51,Darnell Brodie,3,William Yoakum,10,20,0,10,8,1.25,2.5
Cheshire Phoenix,23,Jaxon Brenchley,2,Michael Diggins,8,20,4,4,7,1.14,2.86
Caledonia Gladiators,40,Ethan Wright,24,Matthew Ragsdale,7,20,6,1,4,1.75,5.0
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,23,Jalen Deloach,10,20,0,10,8,1.25,2.5
Newcastle Eagles,3,Ray'sean Taylor,21,Emmanuel Kanwei,9,20,2,7,6,1.5,3.33
Bristol Flyers,13,Owen Mccormack,22,Joseph Anderson,7,20,6,1,6,1.17,3.33
Newcastle Eagles,15,Cole Long,8,Deion Hammond,7,20,6,1,5,1.4,4.0
B. Braun Sheffield Sharks,2,Prentiss Nixon,5,Mervin James,9,20,2,7,5,1.8,4.0
Cheshire Phoenix,13,Patrick Robinson,9,Damiri Lindo,7,19,5,2,7,1.0,2.71
Cheshire Phoenix,11,Tobias Cameron,5,Frankie Policelli,7,19,5,2,6,1.17,3.17
Manchester Basketball,2,Max Jones,0,Patrick Smith Jr,7,19,5,2,5,1.4,3.8
Surrey 89ers,4,Andrew Lawrence,17,Nedas Cholevinskas,7,19,5,2,5,1.4,3.8
Surrey 89ers,7,Ronald Polite Iii,1,Owen Koonce,7,19,5,2,4,1.75,4.75
Caledonia Gladiators,6,Kyle Jimenez,22,Charles Jet Speelman,8,19,3,5,4,2.0,4.75
London Lions,22,Tarik Phillip,10,Ethan Price,8,18,2,6,8,1.0,2.25
London Lions,13,Jonathan Williams,1,Joel Scott,8,18,2,6,5,1.6,3.6
Cheshire Phoenix,3,Laquincy Rideau,24,Matthew Zona,8,18,2,6,5,1.6,3.6
Caledonia Gladiators,10,Ria'n Holland,0,Kevin Allen,9,18,0,9,6,1.5,3.0
B. Braun Sheffield Sharks,1,Dirk Williams,9,Jordan Ratinho,7,18,4,3,5,1.4,3.6
Newcastle Eagles,8,Deion Hammond,21,Emmanuel Kanwei,9,18,0,9,7,1.29,2.57
Manchester Basketball,11,Jordan Johnson,34,Matthew Nicholson,9,18,0,9,7,1.29,2.57
Caledonia Gladiators,6,Kyle Jimenez,40,Ethan Wright,7,18,4,3,5,1.4,3.6
Manchester Basketball,2,Max Jones,22,Oluwaseyi Adetukasi,7,18,4,3,5,1.4,3.6
Leicester Riders,20,Spencer Johnson,2,Marc Loving,7,18,4,3,6,1.17,3.0
Manchester Basketball,11,Jordan Johnson,1,Kyle Carey,7,18,4,3,5,1.4,3.6
Surrey 89ers,12,Kino Lily Jr,17,Nedas Cholevinskas,7,18,4,3,6,1.17,3.0
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,5,Mervin James,8,18,2,6,6,1.33,3.0
London Lions,33,Shavar Reynolds Jr,1,Joel Scott,7,17,3,4,3,2.33,5.67
B. Braun Sheffield Sharks,23,Jalen Deloach,3,Rodney Chatman Iii,6,17,5,1,6,1.0,2.83
London Lions,23,Kameron Mcgusty,5,Mohammad Al-Amin Abdul Adamu,6,17,5,1,4,1.5,4.25
Cheshire Phoenix,2,Michael Diggins,99,Skyler White,6,17,5,1,6,1.0,2.83
Bristol Flyers,4,Zachary Anderson,3,William Yoakum,7,17,3,4,5,1.4,3.4
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,4,William Lee,6,17,5,1,5,1.2,3.4
Bristol Flyers,4,Zachary Anderson,13,Owen Mccormack,6,17,5,1,4,1.5,4.25
B. Braun Sheffield Sharks,1,Dirk Williams,5,Mervin James,8,17,1,7,4,2.0,4.25
Bristol Flyers,22,Joseph Anderson,21,Marcus Delpeche,8,16,0,8,8,1.0,2.0
Cheshire Phoenix,23,Jaxon Brenchley,13,Patrick Robinson,6,16,4,2,5,1.2,3.2
Manchester Basketball,0,Patrick Smith Jr,22,Oluwaseyi Adetukasi,6,16,4,2,6,1.0,2.67
Cheshire Phoenix,99,Skyler White,11,Tobias Cameron,7,16,2,5,6,1.17,2.67
Caledonia Gladiators,22,Charles Jet Speelman,40,Ethan Wright,6,16,4,2,5,1.2,3.2
Newcastle Eagles,41,Mitch Clarke,25,Marco Anthony,8,16,0,8,5,1.6,3.2
Caledonia Gladiators,40,Ethan Wright,0,Kevin Allen,8,16,0,8,6,1.33,2.67
Cheshire Phoenix,2,Michael Diggins,11,Tobias Cameron,6,16,4,2,6,1.0,2.67
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,9,Jordan Ratinho,6,16,4,2,6,1.0,2.67
B. Braun Sheffield Sharks,2,Prentiss Nixon,23,Jalen Deloach,7,16,2,5,6,1.17,2.67
B. Braun Sheffield Sharks,1,Dirk Williams,4,William Lee,6,16,4,2,6,1.0,2.67
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,24,Nick Kern Jr,8,16,0,8,5,1.6,3.2
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,2,Prentiss Nixon,6,16,4,2,4,1.5,4.0
Manchester Basketball,3,Gabriel Osbuhein,9,Kaiyem Cleary,7,16,2,5,6,1.17,2.67
Manchester Basketball,11,Jordan Johnson,3,Gabriel Osbuhein,8,16,0,8,5,1.6,3.2
London Lions,22,Tarik Phillip,2,Chasson Jermar Randle,6,16,4,2,6,1.0,2.67
Newcastle Eagles,1,Terrell Burden Jr,8,Deion Hammond,6,16,4,2,5,1.2,3.2
Surrey 89ers,7,Ronald Polite Iii,10,Tyrin Lawrence,7,16,2,5,4,1.75,4.0
Bristol Flyers,13,Owen Mccormack,4,Zachary Anderson,6,15,3,3,5,1.2,3.0
Caledonia Gladiators,15,Daylen Williams,24,Matthew Ragsdale,5,15,5,0,3,1.67,5.0
Manchester Basketball,7,Zak Irvin,0,Patrick Smith Jr,5,15,5,0,2,2.5,7.5
Cheshire Phoenix,3,Laquincy Rideau,9,Damiri Lindo,6,15,3,3,5,1.2,3.0
Bristol Flyers,3,William Yoakum,7,Cameron Holden,6,15,3,3,6,1.0,2.5
London Lions,22,Tarik Phillip,31,Deane Williams,6,15,3,3,5,1.2,3.0
Cheshire Phoenix,99,Skyler White,23,Jaxon Brenchley,6,15,3,3,6,1.0,2.5
Leicester Riders,21,Raequan Battle,13,Donald Carey Jr,5,15,5,0,4,1.25,3.75
Newcastle Eagles,41,Mitch Clarke,21,Emmanuel Kanwei,7,15,1,6,6,1.17,2.5
Caledonia Gladiators,24,Matthew Ragsdale,7,Fraser Malcolm,6,15,3,3,6,1.0,2.5
Manchester Basketball,9,Kaiyem Cleary,22,Oluwaseyi Adetukasi,6,15,3,3,4,1.5,3.75
Bristol Flyers,9,Jonathan Brown,4,Zachary Anderson,5,14,4,1,4,1.25,3.5
Manchester Basketball,11,Jordan Johnson,7,Zak Irvin,7,14,0,7,6,1.17,2.33
Leicester Riders,41,Nathaniel Martin,20,Spencer Johnson,5,14,4,1,4,1.25,3.5
Manchester Basketball,9,Kaiyem Cleary,0,Patrick Smith Jr,6,14,2,4,5,1.2,2.8
Bristol Flyers,22,Joseph Anderson,7,Cameron Holden,6,14,2,4,5,1.2,2.8
London Lions,5,Mohammad Al-Amin Abdul Adamu,31,Deane Williams,6,14,2,4,6,1.0,2.33
Leicester Riders,13,Donald Carey Jr,12,Aaron Menzies,7,14,0,7,4,1.75,3.5
Surrey 89ers,11,Kareem Queeley,15,Tayo Ogedengbe,5,14,4,1,3,1.67,4.67
Surrey 89ers,12,Kino Lily Jr,55,Haydn Ling,7,14,0,7,6,1.17,2.33
Bristol Flyers,21,Marcus Delpeche,3,William Yoakum,5,14,4,1,4,1.25,3.5
London Lions,22,Tarik Phillip,21,Aaryndeep Rai,6,14,2,4,4,1.5,3.5
Manchester Basketball,11,Jordan Johnson,30,Duke Shelton,7,14,0,7,4,1.75,3.5
Surrey 89ers,10,Tyrin Lawrence,7,Ronald Polite Iii,5,14,4,1,3,1.67,4.67
Cheshire Phoenix,13,Patrick Robinson,3,Laquincy Rideau,5,13,3,2,5,1.0,2.6
B. Braun Sheffield Sharks,2,Prentiss Nixon,3,Rodney Chatman Iii,5,13,3,2,4,1.25,3.25
Leicester Riders,3,Travis Evee,10,Olutomiwa Sulaiman,6,13,1,5,4,1.5,3.25
Bristol Flyers,4,Zachary Anderson,9,Jonathan Brown,5,13,3,2,3,1.67,4.33
Cheshire Phoenix,23,Jaxon Brenchley,3,Laquincy Rideau,5,13,3,2,4,1.25,3.25
Surrey 89ers,4,Andrew Lawrence,15,Tayo Ogedengbe,5,13,3,2,5,1.0,2.6
B. Braun Sheffield Sharks,24,Nick Kern Jr,3,Rodney Chatman Iii,5,13,3,2,4,1.25,3.25
Bristol Flyers,4,Zachary Anderson,21,Marcus Delpeche,6,13,1,5,4,1.5,3.25
Leicester Riders,20,Spencer Johnson,21,Raequan Battle,5,13,3,2,5,1.0,2.6
Leicester Riders,41,Nathaniel Martin,21,Raequan Battle,6,13,1,5,5,1.2,2.6
Surrey 89ers,12,Kino Lily Jr,15,Tayo Ogedengbe,5,13,3,2,5,1.0,2.6
Newcastle Eagles,14,Maceo Jack,3,Ray'sean Taylor,5,13,3,2,4,1.25,3.25
Surrey 89ers,10,Tyrin Lawrence,0,Isiah Small,6,13,1,5,4,1.5,3.25
London Lions,23,Kameron Mcgusty,33,Shavar Reynolds Jr,4,12,4,0,3,1.33,4.0
London Lions,31,Deane Williams,22,Tarik Phillip,5,12,2,3,4,1.25,3.0
Cheshire Phoenix,11,Tobias Cameron,24,Matthew Zona,5,12,2,3,5,1.0,2.4
B. Braun Sheffield Sharks,24,Nick Kern Jr,2,Prentiss Nixon,4,12,4,0,4,1.0,3.0
Bristol Flyers,9,Jonathan Brown,21,Marcus Delpeche,6,12,0,6,5,1.2,2.4
Caledonia Gladiators,0,Kevin Allen,24,Matthew Ragsdale,4,12,4,0,3,1.33,4.0
Surrey 89ers,11,Kareem Queeley,12,Kino Lily Jr,4,12,4,0,4,1.0,3.0
Leicester Riders,77,Flynn Boardman-Raffet,3,Travis Evee,4,12,4,0,4,1.0,3.0
Caledonia Gladiators,7,Fraser Malcolm,24,Matthew Ragsdale,4,12,4,0,3,1.33,4.0
Leicester Riders,13,Donald Carey Jr,10,Olutomiwa Sulaiman,5,12,2,3,3,1.67,4.0
Newcastle Eagles,3,Ray'sean Taylor,9,Sauveur Kande,4,12,4,0,4,1.0,3.0
Cheshire Phoenix,9,Damiri Lindo,5,Frankie Policelli,4,12,4,0,3,1.33,4.0
Bristol Flyers,13,Owen Mccormack,3,William Yoakum,5,12,2,3,5,1.0,2.4
Surrey 89ers,0,Isiah Small,55,Haydn Ling,6,12,0,6,4,1.5,3.0
Caledonia Gladiators,10,Ria'n Holland,7,Fraser Malcolm,4,12,4,0,4,1.0,3.0
B. Braun Sheffield Sharks,1,Dirk Williams,3,Rodney Chatman Iii,4,12,4,0,4,1.0,3.0
B. Braun Sheffield Sharks,23,Jalen Deloach,1,Dirk Williams,5,12,2,3,3,1.67,4.0
London Lions,22,Tarik Phillip,16,Karolis Lukosiunas,4,12,4,0,4,1.0,3.0
London Lions,33,Shavar Reynolds Jr,21,Aaryndeep Rai,5,12,2,3,4,1.25,3.0
Newcastle Eagles,1,Terrell Burden Jr,99,Gus Okafor,4,12,4,0,3,1.33,4.0
Bristol Flyers,9,Jonathan Brown,13,Owen Mccormack,4,11,3,1,3,1.33,3.67
B. Braun Sheffield Sharks,24,Nick Kern Jr,23,Jalen Deloach,5,11,1,4,4,1.25,2.75
Cheshire Phoenix,13,Patrick Robinson,11,Tobias Cameron,4,11,3,1,3,1.33,3.67
Newcastle Eagles,41,Mitch Clarke,3,Ray'sean Taylor,5,11,1,4,4,1.25,2.75
Caledonia Gladiators,24,Matthew Ragsdale,22,Charles Jet Speelman,5,11,1,4,4,1.25,2.75
Cheshire Phoenix,99,Skyler White,5,Frankie Policelli,4,11,3,1,3,1.33,3.67
B. Braun Sheffield Sharks,24,Nick Kern Jr,4,William Lee,4,11,3,1,4,1.0,2.75
Bristol Flyers,51,Darnell Brodie,22,Joseph Anderson,5,11,1,4,4,1.25,2.75
London Lions,6,Morayo Soluade,5,Mohammad Al-Amin Abdul Adamu,4,11,3,1,2,2.0,5.5
Surrey 89ers,21,Michael Graham,0,Isiah Small,5,11,1,4,5,1.0,2.2
Leicester Riders,9,Emmanuel Akot,21,Raequan Battle,4,11,3,1,3,1.33,3.67
Caledonia Gladiators,22,Charles Jet Speelman,24,Matthew Ragsdale,4,11,3,1,3,1.33,3.67
Caledonia Gladiators,40,Ethan Wright,7,Fraser Malcolm,4,11,3,1,4,1.0,2.75
Manchester Basketball,2,Max Jones,7,Zak Irvin,5,11,1,4,4,1.25,2.75
Manchester Basketball,9,Kaiyem Cleary,11,Jordan Johnson,4,11,3,1,3,1.33,3.67
Surrey 89ers,7,Ronald Polite Iii,15,Tayo Ogedengbe,4,11,3,1,4,1.0,2.75
Cheshire Phoenix,99,Skyler White,3,Laquincy Rideau,4,11,3,1,4,1.0,2.75
Bristol Flyers,7,Cameron Holden,9,Jonathan Brown,4,11,3,1,4,1.0,2.75
B. Braun Sheffield Sharks,9,Jordan Ratinho,3,Rodney Chatman Iii,4,11,3,1,3,1.33,3.67
Manchester Basketball,3,Gabriel Osbuhein,22,Oluwaseyi Adetukasi,5,11,1,4,3,1.67,3.67
London Lions,21,Aaryndeep Rai,5,Mohammad Al-Amin Abdul Adamu,4,11,3,1,3,1.33,3.67
Newcastle Eagles,21,Emmanuel Kanwei,41,Mitch Clarke,4,11,3,1,3,1.33,3.67
Leicester Riders,21,Raequan Battle,2,Marc Loving,5,11,1,4,4,1.25,2.75
Newcastle Eagles,1,Terrell Burden Jr,3,Ray'sean Taylor,4,11,3,1,3,1.33,3.67
Caledonia Gladiators,6,Kyle Jimenez,56,Lloyd Alvin Bryan Jr,5,11,1,4,2,2.5,5.5
B. Braun Sheffield Sharks,1,Dirk Williams,2,Prentiss Nixon,4,10,2,2,4,1.0,2.5
B. Braun Sheffield Sharks,4,William Lee,1,Dirk Williams,4,10,2,2,4,1.0,2.5
Bristol Flyers,51,Darnell Brodie,13,Owen Mccormack,4,10,2,2,3,1.33,3.33
London Lions,22,Tarik Phillip,3,Ciaran Sandy,4,10,2,2,3,1.33,3.33
London Lions,22,Tarik Phillip,13,Jonathan Williams,5,10,0,5,5,1.0,2.0
Cheshire Phoenix,9,Damiri Lindo,11,Tobias Cameron,4,10,2,2,4,1.0,2.5
Caledonia Gladiators,6,Kyle Jimenez,0,Kevin Allen,5,10,0,5,5,1.0,2.0
Newcastle Eagles,15,Cole Long,25,Marco Anthony,5,10,0,5,5,1.0,2.0
Newcastle Eagles,25,Marco Anthony,3,Ray'sean Taylor,4,10,2,2,2,2.0,5.0
Cheshire Phoenix,3,Laquincy Rideau,23,Jaxon Brenchley,4,10,2,2,3,1.33,3.33
London Lions,33,Shavar Reynolds Jr,0,Ovie Soko,5,10,0,5,3,1.67,3.33
Surrey 89ers,21,Michael Graham,12,Kino Lily Jr,4,10,2,2,4,1.0,2.5
Cheshire Phoenix,11,Tobias Cameron,3,Laquincy Rideau,4,10,2,2,4,1.0,2.5
Leicester Riders,10,Olutomiwa Sulaiman,77,Flynn Boardman-Raffet,4,10,2,2,4,1.0,2.5
London Lions,5,Mohammad Al-Amin Abdul Adamu,13,Jonathan Williams,5,10,0,5,4,1.25,2.5
Cheshire Phoenix,99,Skyler White,2,Michael Diggins,5,10,0,5,4,1.25,2.5
Surrey 89ers,15,Tayo Ogedengbe,21,Michael Graham,5,10,0,5,5,1.0,2.0
Newcastle Eagles,14,Maceo Jack,21,Emmanuel Kanwei,5,10,0,5,4,1.25,2.5
Manchester Basketball,3,Gabriel Osbuhein,11,Jordan Johnson,4,10,2,2,4,1.0,2.5
Newcastle Eagles,14,Maceo Jack,99,Gus Okafor,4,10,2,2,4,1.0,2.5
Newcastle Eagles,3,Ray'sean Taylor,13,Darius Defoe,5,10,0,5,3,1.67,3.33
Newcastle Eagles,41,Mitch Clarke,13,Darius Defoe,5,10,0,5,5,1.0,2.0
Newcastle Eagles,3,Ray'sean Taylor,41,Mitch Clarke,4,10,2,2,3,1.33,3.33
Caledonia Gladiators,56,Lloyd Alvin Bryan Jr,22,Charles Jet Speelman,4,10,2,2,4,1.0,2.5
London Lions,22,Tarik Phillip,1,Joel Scott,4,9,1,3,3,1.33,3.0
Manchester Basketball,0,Patrick Smith Jr,7,Zak Irvin,4,9,1,3,3,1.33,3.0
Newcastle Eagles,21,Emmanuel Kanwei,14,Maceo Jack,4,9,1,3,3,1.33,3.0
London Lions,21,Aaryndeep Rai,23,Kameron Mcgusty,3,9,3,0,2,1.5,4.5
Manchester Basketball,0,Patrick Smith Jr,1,Kyle Carey,3,9,3,0,2,1.5,4.5
Leicester Riders,3,Travis Evee,9,Emmanuel Akot,3,9,3,0,3,1.0,3.0
Surrey 89ers,4,Andrew Lawrence,0,Isiah Small,4,9,1,3,2,2.0,4.5
Surrey 89ers,1,Owen Koonce,12,Kino Lily Jr,4,9,1,3,4,1.0,2.25
Leicester Riders,77,Flynn Boardman-Raffet,21,Raequan Battle,3,9,3,0,2,1.5,4.5
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,1,Dirk Williams,3,9,3,0,3,1.0,3.0
Leicester Riders,13,Donald Carey Jr,77,Flynn Boardman-Raffet,4,9,1,3,2,2.0,4.5
Leicester Riders,3,Travis Evee,13,Donald Carey Jr,3,9,3,0,3,1.0,3.0
Cheshire Phoenix,5,Frankie Policelli,99,Skyler White,3,9,3,0,3,1.0,3.0
Surrey 89ers,0,Isiah Small,17,Nedas Cholevinskas,3,9,3,0,3,1.0,3.0
Manchester Basketball,2,Max Jones,11,Jordan Johnson,3,9,3,0,3,1.0,3.0
London Lions,10,Ethan Price,6,Morayo Soluade,3,9,3,0,2,1.5,4.5
London Lions,2,Chasson Jermar Randle,10,Ethan Price,4,9,1,3,4,1.0,2.25
Manchester Basketball,3,Gabriel Osbuhein,0,Patrick Smith Jr,4,9,1,3,3,1.33,3.0
Leicester Riders,12,Aaron Menzies,21,Raequan Battle,3,9,3,0,3,1.0,3.0
Caledonia Gladiators,6,Kyle Jimenez,10,Ria'n Holland,4,9,1,3,2,2.0,4.5
Newcastle Eagles,13,Darius Defoe,41,Mitch Clarke,4,9,1,3,3,1.33,3.0
Cheshire Phoenix,9,Damiri Lindo,23,Jaxon Brenchley,3,9,3,0,3,1.0,3.0
Leicester Riders,2,Marc Loving,20,Spencer Johnson,4,9,1,3,2,2.0,4.5
Caledonia Gladiators,56,Lloyd Alvin Bryan Jr,24,Matthew Ragsdale,4,9,1,3,2,2.0,4.5
Newcastle Eagles,1,Terrell Burden Jr,14,Maceo Jack,4,9,1,3,4,1.0,2.25
B. Braun Sheffield Sharks,24,Nick Kern Jr,5,Mervin James,4,9,1,3,4,1.0,2.25
Surrey 89ers,10,Tyrin Lawrence,12,Kino Lily Jr,3,9,3,0,3,1.0,3.0
London Lions,10,Ethan Price,16,Karolis Lukosiunas,3,9,3,0,2,1.5,4.5
Bristol Flyers,25,Milos Dugalic,21,Marcus Delpeche,4,8,0,4,3,1.33,2.67
Leicester Riders,3,Travis Evee,77,Flynn Boardman-Raffet,4,8,0,4,4,1.0,2.0
Cheshire Phoenix,11,Tobias Cameron,99,Skyler White,3,8,2,1,3,1.0,2.67
