Team,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Surrey 89ers,7,Ronald Polite Iii,12,Kino Lily Jr,26,67,15,11,14,1.86,4.79
Cheshire Phoenix,3,Laquincy Rideau,2,Michael Diggins,28,65,9,19,15,1.87,4.33
Cheshire Phoenix,3,Laquincy Rideau,99,Skyler White,21,57,15,6,12,1.75,4.75
Surrey 89ers,7,Ronald Polite Iii,0,Isiah Small,24,52,4,20,14,1.71,3.71
Leicester Riders,13,Donald Carey Jr,21,Raequan Battle,20,52,12,8,12,1.67,4.33
Bristol Flyers,22,Joseph Anderson,13,Owen Mccormack,19,52,14,5,11,1.73,4.73
Bristol Flyers,22,Joseph Anderson,4,Zachary Anderson,18,51,15,3,11,1.64,4.64
Surrey 89ers,12,Kino Lily Jr,0,Isiah Small,22,49,5,17,13,1.69,3.77
Newcastle Eagles,3,Ray'sean Taylor,15,Cole Long,16,46,14,2,10,1.6,4.6
Bristol Flyers,7,Cameron Holden,21,Marcus Delpeche,22,44,0,22,14,1.57,3.14
Cheshire Phoenix,13,Patrick Robinson,24,Matthew Zona,16,44,12,4,8,2.0,5.5
Surrey 89ers,0,Isiah Small,12,Kino Lily Jr,16,43,11,5,12,1.33,3.58
Bristol Flyers,22,Joseph Anderson,3,William Yoakum,18,42,6,12,10,1.8,4.2
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,4,William Lee,20,42,2,18,11,1.82,3.82
Cheshire Phoenix,13,Patrick Robinson,2,Michael Diggins,16,40,8,8,10,1.6,4.0
Caledonia Gladiators,6,Kyle Jimenez,24,Matthew Ragsdale,14,39,11,3,8,1.75,4.88
Cheshire Phoenix,23,Jaxon Brenchley,99,Skyler White,13,38,12,1,8,1.62,4.75
Surrey 89ers,7,Ronald Polite Iii,21,Michael Graham,19,38,0,19,15,1.27,2.53
B. Braun Sheffield Sharks,3,Rodney Chatman Iii,1,Dirk Williams,15,37,7,8,9,1.67,4.11
Manchester Basketball,0,Patrick Smith Jr,2,Max Jones,13,36,10,3,9,1.44,4.0
Cheshire Phoenix,3,Laquincy Rideau,5,Frankie Policelli,12,35,11,1,9,1.33,3.89
Bristol Flyers,7,Cameron Holden,4,Zachary Anderson,13,35,9,4,10,1.3,3.5
Newcastle Eagles,41,Mitch Clarke,15,Cole Long,13,34,8,5,10,1.3,3.4
B. Braun Sheffield Sharks,2,Prentiss Nixon,1,Dirk Williams,12,33,9,3,8,1.5,4.12
Newcastle Eagles,3,Ray'sean Taylor,8,Deion Hammond,13,33,7,6,8,1.62,4.12
Manchester Basketball,11,Jordan Johnson,9,Kaiyem Cleary,14,33,5,9,9,1.56,3.67
Manchester Basketball,0,Patrick Smith Jr,9,Kaiyem Cleary,13,32,6,7,8,1.62,4.0
London Lions,33,Shavar Reynolds Jr,31,Deane Williams,12,31,7,5,6,2.0,5.17
Manchester Basketball,11,Jordan Johnson,2,Max Jones,11,31,9,2,9,1.22,3.44
Manchester Basketball,11,Jordan Johnson,22,Oluwaseyi Adetukasi,12,31,7,5,9,1.33,3.44
