country,league,season,scraped_at,Player,player_url,player_name,height,position,age,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT_pct,2PA,2PM,2P_pct,3PA,3PM,3P_pct,TO,team,team_abbrev,team_url
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:14.264243,Masip Daniel 200-C-22,https://basketball.eurobasket.com/player/Masip-Daniel/602426,Daniel Masip,200,C,22,12,8.3,19.3,7.6,4.1,1.1,3.0,0.9,0.2,0.8,2.5,2.7,1.7,63.0,4.8,2.8,58.3,0.7,0.1,14.3,1.3,Puerto Sagunto,PUER,https://basketball.eurobasket.com/team/CB-Puerto-Sagunto/20654
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:14.541322,Masllorens Albert 199-F-35,https://basketball.eurobasket.com/player/Masllorens-Albert/194083,Albert Masllorens,199,F,35,3,2.7,8.3,2.0,2.0,0.7,1.3,1.0,0.7,0.3,1.7,0.7,0.7,100.0,1.7,0.7,41.2,0.7,0.0,0.0,0.3,Cornella,CORN,https://basketball.eurobasket.com/team/CB-Cornella/1325
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:14.824307,Maspons Ignasi 187-G-31,https://basketball.eurobasket.com/player/Maspons-Ignasi/587646,Ignasi Maspons,187,G,31,10,2.2,13.1,1.5,2.5,0.6,1.9,1.0,0.0,0.2,1.5,0.8,0.3,37.5,1.7,0.6,35.3,0.9,0.0,0.0,0.4,Granollers,GRAN,https://basketball.eurobasket.com/team/Club-Basquet-Granollers-Pisoscom/398
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:15.101643,Massamba Simon 188-G-16,https://basketball.eurobasket.com/player/Massamba-Simon/791891,Simon Massamba,188,G,16,2,-3.5,12.0,3.5,0.0,0.0,0.0,1.5,0.0,0.5,3.0,1.5,1.0,66.7,3.0,0.5,16.7,2.5,0.5,20.0,2.5,Lucentum,LUCE,https://basketball.eurobasket.com/team/UA-Fundacion-Lucentum-Alicante/31304
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:15.385462,Matas Gabriel,https://basketball.eurobasket.com/player/Matas-Gabriel/814277,Gabriel Matas,,,,2,1.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.0,Aridane,ARID,https://basketball.eurobasket.com/team/CB-Aridane/5135
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:15.700507,Mate Jose 200-C-26,https://basketball.eurobasket.com/player/Mate-Jose/427348,Jose Mate,200,C,26,12,14.7,26.9,13.6,7.7,1.9,5.8,0.8,0.3,0.7,1.9,2.3,1.6,69.6,10.3,5.3,51.5,2.0,0.5,25.0,1.5,Jovens,JOVE,https://basketball.eurobasket.com/team/Jovens-LEliana-Valencia/3219
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:15.993481,Mateo Iker,https://basketball.eurobasket.com/player/Mateo-Iker/797330,Iker Mateo,,,,12,5.8,22.4,4.8,4.4,1.2,3.3,1.1,0.1,0.4,2.8,1.8,1.2,66.7,1.5,0.6,40.0,3.0,0.8,26.7,0.9,Alcobendas,ALCO,https://basketball.eurobasket.com/team/Italtel-Alcobendas/1285
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:16.326071,Mateo Javier 200-C-29,https://basketball.eurobasket.com/player/Mateo-Javier/623397,Javier Mateo,200,C,29,10,17.3,26.0,12.8,8.1,2.6,5.5,1.8,0.8,1.0,2.5,3.8,3.0,78.9,7.7,4.3,55.8,2.0,0.4,20.0,1.6,El Pilar,EL P,https://basketball.eurobasket.com/team/El-Pilar-UPV/69180
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:16.610695,Mateos Adrian 184-SG-31,https://basketball.eurobasket.com/player/Mateos-Adrian/450871,Adrian Mateos,184,SG,31,3,0.3,4.3,0.0,0.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,Oh!Tels ULB,OH!T,https://basketball.eurobasket.com/team/OhTels-Union-Linense-de-Baloncesto/2778
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:16.900227,Mateu Marc 193-PF-26,https://basketball.eurobasket.com/player/Mateu-Marc/587632,Marc Mateu,193,PF,26,10,8.0,25.2,7.2,6.4,1.4,5.0,1.0,0.1,0.6,2.3,4.0,1.4,35.0,4.7,2.3,48.9,1.9,0.4,21.1,1.6,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:17.190206,Mayo Isaac 195-F-24,https://basketball.eurobasket.com/player/Mayo-Isaac/485136,Isaac Mayo,195,F,24,4,15.5,26.0,13.5,7.0,3.5,3.5,1.3,1.3,1.3,3.3,2.5,2.0,80.0,6.0,3.5,58.3,3.5,1.5,42.9,2.3,Cornella,CORN,https://basketball.eurobasket.com/team/CB-Cornella/1325
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:17.501459,Mayor Adrian 193-G-29,https://basketball.eurobasket.com/player/Mayor-Adrian/449522,Adrian Mayor,193,G,29,10,10.0,26.2,9.2,4.1,0.3,3.8,3.0,0.1,1.5,1.7,1.3,0.6,46.2,2.6,1.3,50.0,5.7,2.0,35.1,1.8,Fuengirola,FUEN,https://basketball.eurobasket.com/team/CB-Salliver-Fuengirola-Higueron/59036
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:17.790349,McCarthy Acoydan 197-G-27,https://basketball.eurobasket.com/player/McCarthy-Acoydan/333798,Acoydan McCarthy,197,G,27,12,14.9,31.3,13.3,5.1,1.2,3.9,3.0,0.2,1.3,3.3,3.7,2.8,75.7,9.8,5.3,54.1,0.1,0.0,0.0,2.5,Avenida,AVEN,https://basketball.eurobasket.com/team/Perfumerias-Avenida-Xoborg-Salamanca/70754
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:18.093890,McDonald Billy 198-F-32,https://basketball.eurobasket.com/player/McDonald-Billy/274119,Billy McDonald,198,F,32,2,7.0,25.5,9.5,3.0,0.0,3.0,1.5,0.5,2.0,1.0,3.0,2.0,66.7,3.0,1.5,50.0,6.5,1.5,23.1,3.0,,,
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:18.395670,Medina Rafel,https://basketball.eurobasket.com/player/Medina-Rafel/697370,Rafel Medina,,,,9,6.6,18.9,5.3,4.1,1.7,2.4,0.6,0.6,0.8,3.2,1.6,0.9,56.3,3.8,2.2,57.9,0.1,0.0,0.0,1.0,Aldaia,ALDA,https://basketball.eurobasket.com/team/Cemalu-Aldaia/31303
Spain,Tercera FEB,2025-2026,2026-01-10T22:55:18.711389,Medori Javier 202-F-32,https://basketball.eurobasket.com/player/Medori-Javier/182484,Javier Medori,202,F,32,6,21.2,33.8,17.0,9.8,2.7,7.2,2.5,0.3,1.5,1.7,4.0,2.7,67.5,6.5,3.7,56.9,6.5,2.3,35.4,2.5,Ibiza,IBIZ,https://basketball.eurobasket.com/team/SA-Real-Instalaciones-Arevalo-Ibiza/70748
