Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Helsinki Seagulls,Chrysostom Chukwuma,0,Chrysostom Chukwuma,28,18.7,523.7,195.0,7.0,61.0,161.0,37.9,30.0,99.0,30.3,43.0,51.0,84.3,13.0,73.0,86.0,14.0,12.0,5.0,21.0,47.0,183.8,18.2,8.4,0.6,3.7,0,195.0,7.0,8.4,0,0,0,0,0,0.0,0,-3.41,-6.14,2.73,3.7,4.2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kataja Basket,Teemu Knihtinen,21,Teemu Knihtinen,28,19.4,542.8,120.0,4.3,47.0,126.0,37.3,18.0,63.0,28.6,8.0,14.0,57.1,44.0,59.0,103.0,41.0,10.0,1.0,14.0,67.0,98.1,9.4,5.3,1.8,4.6,81,201.0,7.2,8.9,9,1.3,7,5,48.9,10.2,7,-3.04,-4.92,1.88,3.4,4.4,21.0,13.0,61.9,33.0,11.0,33.3,63.0,18.0,28.6,9.0,0.0,11.0,0.0,0.0,3.0,24.0,29.0,9.0
Kobrat,Veeti Helakorpi,8,Veeti Helakorpi,28,11.5,321.8,88.0,3.1,36.0,71.0,50.7,0.0,0.0,0,16.0,36.0,44.4,33.0,54.0,87.0,6.0,5.0,11.0,18.0,68.0,69.0,11.0,3.9,0.3,3.9,12,100.0,3.6,4.4,4,1.3,3,0,66.7,3.0,3,-8.88,-8.66,-0.22,5.0,4.7,55.0,28.0,50.9,6.0,0.0,0,0.0,0.0,0,4.0,0.0,4.0,6.0,0.0,8.0,24.0,5.0,8.0
Kobrat,Juho Lehtoranta,3,Juho Lehtoranta,28,15.9,444.2,85.0,3.0,26.0,78.0,33.3,21.0,65.0,32.3,12.0,12.0,100,16.0,28.0,44.0,19.0,8.0,3.0,14.0,46.0,78.0,9.0,3.8,0.8,1.9,33,118.0,4.2,5.2,5,1.7,4,0,62.5,4.0,3,-6.26,-5.9,-0.36,2.8,4.6,6.0,3.0,50,7.0,2.0,28.6,65.0,21.0,32.3,1.0,2.0,6.0,3.0,0.0,5.0,9.0,20.0,12.0
Korihait,Leo Eklund,11,Leo Eklund,28,1.3,37.4,12.0,0.4,5.0,11.0,45.5,2.0,3.0,66.7,0.0,0.0,0,0.0,3.0,3.0,3.0,2.0,0.0,3.0,5.0,13.4,18.3,0.5,0.1,0.1,7,19.0,0.7,0.8,0,0,0,0,0,0.0,0,-3.43,-6.84,3.41,2.6,3.9,2.0,1.0,50,6.0,2.0,33.3,3.0,2.0,66.7,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
Kauhajoki,Ike Nweke,4,Ike Nweke,27,27.6,744.9,513.0,19.0,190.0,330.0,57.6,11.0,31.0,35.5,122.0,162.0,75.3,81.0,133.0,214.0,72.0,15.0,10.0,76.0,70.0,380.4,26.8,21.6,3.0,9.0,165,678.0,25.1,28.6,45,3.8,26,10,74.0,37.4,12,5.47,0.98,4.49,4.5,1.0,197.0,128.0,65,88.0,40.0,45.5,31.0,11.0,35.5,55.0,2.0,32.0,27.0,0.0,17.0,105.0,101.0,80.0
Helsinki Seagulls,Kahron Ross,3,Kahron Ross,27,33.5,904.4,434.0,16.1,176.0,340.0,51.8,26.0,73.0,35.6,56.0,73.0,76.7,18.0,81.0,99.0,227.0,57.0,2.0,65.0,53.0,402.4,23.0,18.7,9.8,4.3,456,890.0,33.0,38.4,37,2.8,35,5,49.7,41.2,13,4.63,-0.03,4.66,1.0,1.0,99.0,64.0,64.6,164.0,84.0,51.2,73.0,26.0,35.6,55.0,16.0,39.0,17.0,0.0,9.0,38.0,106.0,97.0
Kouvot,Tobias Rotegård,8,Tobias Rotegård,27,26.6,719.1,349.0,12.9,108.0,249.0,43.4,74.0,179.0,41.3,59.0,67.0,88.1,25.0,100.0,125.0,69.0,28.0,8.0,54.0,76.0,295.2,19.5,14.3,2.8,5.1,146,495.0,18.3,20.2,27,3.0,21,13,50.5,31.7,9,0.84,-2.77,3.61,3.1,2.1,43.0,23.0,53.5,24.0,10.0,41.7,179.0,74.0,41.3,14.0,9.0,36.0,12.0,0.0,6.0,36.0,90.0,63.0
KTP-Basket,Joona Tuomala,31,Joona Tuomala,27,25.7,694.6,301.0,11.1,95.0,240.0,39.6,60.0,177.0,33.9,51.0,63.0,81,42.0,56.0,98.0,30.0,25.0,6.0,18.0,76.0,234.0,17.6,12.6,1.3,4.1,60,361.0,13.4,15.1,22,2.2,20,4,50.6,25.8,10,3.24,-1.29,4.53,2.9,3.5,36.0,22.0,61.1,21.0,10.0,47.6,177.0,60.0,33.9,12.0,9.0,6.0,9.0,0.0,3.0,49.0,65.0,58.0
Tampereen Pyrintö,Kaleb Warner,13,Kaleb Warner,27,17.6,475.1,219.0,8.1,75.0,186.0,40.3,41.0,114.0,36,28.0,45.0,62.2,17.0,65.0,82.0,29.0,19.0,2.0,18.0,36.0,198.5,21.7,9.2,1.2,3.4,61,280.0,10.4,11.7,0,0.0,8,0,0.0,8.0,5,0.65,-2.5,3.15,3.1,3.4,43.0,22.0,51.2,26.0,10.0,38.5,114.0,41.0,36,11.0,12.0,9.0,7.0,0.0,2.0,25.0,73.0,31.0
